,player,scrape_name,player_image_link
1857,Caleb Martin,martica01,https://www.basketball-reference.com/req/202106291/images/headshots/martica01.jpg
1858,Cody Martin,martico01,https://www.basketball-reference.com/req/202106291/images/headshots/martico01.jpg
1859,Jalen McDaniels,mcdanja01,https://www.basketball-reference.com/req/202106291/images/headshots/mcdanja01.jpg
1860,Stanton Kidd,kiddst01,https://www.basketball-reference.com/req/202106291/images/headshots/kiddst01.jpg
1861,Zach Norvell,norveza01,https://www.basketball-reference.com/req/202106291/images/headshots/norveza01.jpg
1862,Garrison Mathews,mathega01,https://www.basketball-reference.com/req/202106291/images/headshots/mathega01.jpg
1863,Nassir Little,littlna01,https://www.basketball-reference.com/req/202106291/images/headshots/littlna01.jpg
1864,Wenyen Gabriel,gabriwe01,https://www.basketball-reference.com/req/202106291/images/headshots/gabriwe01.jpg
1865,Justin James,jamesju01,https://www.basketball-reference.com/req/202106291/images/headshots/jamesju01.jpg
1866,Matt Thomas,thomama01,https://www.basketball-reference.com/req/202106291/images/headshots/thomama01.jpg
1867,Goga Bitadze,bitadgo01,https://www.basketball-reference.com/req/202106291/images/headshots/bitadgo01.jpg
1868,Vincent Poirier,poirivi01,https://www.basketball-reference.com/req/202106291/images/headshots/poirivi01.jpg
1869,Tacko Fall,fallta01,https://www.basketball-reference.com/req/202106291/images/headshots/fallta01.jpg
1870,Cameron Johnson,johnsca01,https://www.basketball-reference.com/req/202106291/images/headshots/johnsca01.jpg
1871,Nigel Williams-Goss,willini01,https://www.basketball-reference.com/req/202106291/images/headshots/willini01.jpg
1872,Ky Bowman,bowmaky01,https://www.basketball-reference.com/req/202106291/images/headshots/bowmaky01.jpg
1873,Tyler Cook,cookty01,https://www.basketball-reference.com/req/202106291/images/headshots/cookty01.jpg
1874,Jaxson Hayes,hayesja01,https://www.basketball-reference.com/req/202106291/images/headshots/hayesja01.jpg
1875,Terance Mann,mannte01,https://www.basketball-reference.com/req/202106291/images/headshots/mannte01.jpg
1876,Michael Porter,portemi01,https://www.basketball-reference.com/req/202106291/images/headshots/portemi01.jpg
1877,Justin Robinson,robinju01,https://www.basketball-reference.com/req/202106291/images/headshots/robinju01.jpg
1878,Chris Clemons,clemoch01,https://www.basketball-reference.com/req/202106291/images/headshots/clemoch01.jpg
1879,Ignas Brazdeikis,brazdig01,https://www.basketball-reference.com/req/202106291/images/headshots/brazdig01.jpg
1880,Jordan Bone,bonejo01,https://www.basketball-reference.com/req/202106291/images/headshots/bonejo01.jpg
1881,Jordan McLaughlin,mclaujo01,https://www.basketball-reference.com/req/202106291/images/headshots/mclaujo01.jpg
1882,Javonte Green,greenja01,https://www.basketball-reference.com/req/202106291/images/headshots/greenja01.jpg
1883,Nic Claxton,claxtni01,https://www.basketball-reference.com/req/202106291/images/headshots/claxtni01.jpg
1884,Devon Hall,hallde01,https://www.basketball-reference.com/req/202106291/images/headshots/hallde01.jpg
